product_internal_id,product_sku,product_name,product_media_main_image_url,product_category_1,product_category_2,product_category_3,product_category_4,product_category_5,product_category_6,url
565124768,01810-RS,Bose Repair Service For Circuit Board of Bose Acoustimass 300 Wireless Bass Module,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/3688496738.png,Bose Repair Service,Bose Repair Service / Bose Bass Module Subwoofer Repair Service,Bose Repair Service / Bose Home Theater Repair Service,,,,https://usavshop.com/products/Bose-Repair-Service-For-Circuit-Board-of-Bose-Acoustimass-300-Wireless-Bass-Module-p565124768
298674448,00770-RS,"Bose Repair Service for 321GSX AV38 AV48 (Failed 801,802 Call Bose Error) uMusic function Issue",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/3130908233.jpg,Bose Repair Service,Bose Repair Service / Bose Home Theater Repair Service,,,,,https://usavshop.com/products/Bose-Repair-Service-for-321GSX-AV38-AV48-Failed-801-802-Call-Bose-Error-uMusic-function-Issue-p298674448
643455621,4738,Bose RoomMatch RM12040 Array Module Loudspeaker,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4217366146.jpg,Bose Professional Products,,,,,,https://usavshop.com/products/Bose-RoomMatch-RM12040-Array-Module-Loudspeaker-p643455621
727855114,4872,Bose S1 Pro+ Portable Bluetooth Speaker System,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4779652923.webp,Bose Portable Speakers,,,,,,https://usavshop.com/products/Bose-S1-Pro-Portable-Bluetooth-Speaker-System-p727855114
377676647,995,Bose SM1 Black (Pair) Outdoor Surface Mount Bracket,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/2421211835.jpg,Wall Mount Brackets for Bose Speakers,Wall Mount Brackets for Bose Speakers / Metal Wall Mount Brackets for Bose Speakers,,,,,https://usavshop.com/products/Bose-SM1-Black-Pair-Outdoor-Surface-Mount-Bracket-p377676647
589356554,3734,Bose Seismic Sound Ultimate Home Theater System,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/3643678407.jpg,Bose Home Theater,Bose Home Theater / 5-speaker Home Theaters,Bose Soundbars / Sets,,,,https://usavshop.com/products/Bose-Seismic-Sound-Ultimate-Home-Theater-System-p589356554
800216804,05087-B,Bose Single Cube Satellite Speaker  Acoustimass Lifestyle - Black,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/5429021626.jpg,Bose Replacement,Bose Home Theater,Bose Home Theater / Lifestyle,,,,https://usavshop.com/products/Bose-Single-Cube-Satellite-Speaker-Acoustimass-Lifestyle-Black-p800216804
231495465,153,Bose Single Cube Speaker for Bose Acoustimass® 6 home theater speaker system,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4164732072.png,Bose Replacement,Bose Home Theater / Bose Satellite Speakers,,,,,https://usavshop.com/products/Bose-Single-Cube-Speaker-for-Bose-Acoustimass®-6-home-theater-speaker-system-p231495465
231495652,156,Bose Single Cube Speaker for Lifestyle 18 Series,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/1622590744.jpg,USAV Refurbished Bose Speakers,Bose Home Theater / Lifestyle,,,,,https://usavshop.com/products/Bose-Single-Cube-Speaker-for-Lifestyle-18-Series-p231495652
738278673,4889,"Bose Smart Dolby Atmos Soundbar, Bluetooth Soundbar Speaker with Voice Control and Amazon Alexa Built-in, Works with Google Assistant Capabilities, Black",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4839753555.jpg,Bose Home Theater,Bose Home Theater / Bose Soundbars,Bose Smart Speakers,Bose Soundbars / Soundbars,,,https://usavshop.com/products/Bose-Smart-Dolby-Atmos-Soundbar-Bluetooth-Soundbar-Speaker-with-Voice-Control-and-Amazon-Alexa-Built-in-Works-with-Google-Assistant-Capabilities-Black-p738278673
